Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
82.09/12,النقد البنيوي الحديث بين لبنان وأوروبا: صوص - حجاليات - تطلعات,"أبو منصور, فؤاد",بيروت,دار الجيل,1985.0,511.0,النقد الأدبي,INV_BUA_148
82-9/09,أراغون في مواجهة العصر,"أبو منصور, فؤاد",بيروت,المؤسسة العربية للدراسات والنشر,1982.0,292.0,الأنواع الأدبية المختلفة,INV_BUA_149
801/12,الألسنية والنقد الأدبي في النظرية والممارسة,"أبو ناضر, موريس",بيروت,دار النهار,1979.0,166.0,اللسانيات,INV_BUA_150
82-1/13,ديوان أبي نواس,أبو نواس,بيروت,دار صادر,1983.0,717.0,ديوان شعري,INV_BUA_151
1:297/95,كتاب المعتمد في أصول الدين,"أبو يعلى الحنبلي, محمد ابن الحسين",بيروت,دار المشرق,1974.0,333.0,فلسفة إسلامية,INV_BUA_152
956.95/03,متحف التاريخ الطبيعي الأردني,"أبو يمن, إبراهيم خليل",جامعة اليرموك,مطبعة جامعة اليرموك,1985.0,98.0,تاريخ الأردن,INV_BUA_153
323.1_569.6/01,قادة فلسطينيون في حوار استراتيجي,"أبوبكر, توفيق",غير محدد,مطابع القبس التجارية,1987.0,203.0,الحركات الوطنية,INV_BUA_154
665.6/16,المدخل إلى كمياء البترول,"أبوبكر, محمد",حلب,جامعة حلب,1980.0,424.0,التكنولوجيا النفطية,INV_BUA_155
297.74/08,منشورات كلية الآداب والعلوم الانسانية,أبوحامد الغزالي : دراسات في فكره وعصره وتأثيره,الرباط,غير محدد,1988.0,318.0,سير الفقهاء,INV_BUA_156
72_091/05 ج1,تاريخ العمارة: تاريخ العمارة الحديثة : الجزء الأول,"أبوحديد, يوسف",دمشق,جامعة دمشق,1988.0,127.0,تاريخ الهندسة المعمارية,INV_BUA_157
297.81/01 مكرر,الإشارات الإلهية,أبوحيان التوحيدي,بيروت,دار الثقافة,1973.0,486.0,التصوف,INV_BUA_158
54/01,الكيمياء التحليلية (2): مبادئ التحليل الكمي ةالآلي,"أبودان, محمود",دمشق,جامعة حلب,1988.0,373.0,الكيمياء,INV_BUA_159
546/02,الكيمياء العامة واللاعضوية,"أبودان, محمود",غير محدد,مديرية الكتب والمطبوعات الجامعية,1990.0,457.0,الكيمياء اللاعضوية,INV_BUA_160
297.26/20,أضواء على السنة المحمدية أو دفاع عن الحديث,"أبورية, محمود",مصر,دار المعارف,1976.0,422.0,الحديث : الرواة والرواية,INV_BUA_161
347.23:297/01,الملكية ونظرية العقد في الشريعة الإسلامية,"أبوزهرة, محمد",بيروت,دار الفكر العربي,1972.0,470.0,القانون المدني,INV_BUA_162
297.126/27,التناسب البياني في القرآن : دراسة في النظم المعنوي والصوتي,"أبوزيد, أحمد",الرباط,منشورات كلية الآداب والعلوم الانسانية,1992.0,398.0,القرآن توضيح البيان,INV_BUA_163
39/09,محاضرات في الأنثروبولوجيا الثقافية,"أبوزيد, أحمد",بيروت,دار النهضة العربية,1978.0,205.0,الأنثربولوجيا,INV_BUA_164
1:297/101,فلسفة التأويل: دراسة في تأويل القرآن عند محي الدين بن عربي,"أبوزيد, نصر حامد",بيروت,دار التنوير,1983.0,427.0,فلسفة إسلامية,INV_BUA_165
1:297/12,الإتجاه العقلي في التفسير: دراسة في قضية المجاز في القرآن عند المعتزلة,"أبوزيد, نصر حامد",بيروت,دار التنوير,1982.0,280.0,فلسفة إسلامية: المعتزلة,INV_BUA_166
35_297/01,نظرية الادارة في الاسلام نظرة متكاملة لمعالجة السلوك الاداري,"أبوسن, أحمد إبراهيم",عمان,المنظمة العربية للعلوم الادارية,1981.0,65.0,القانون الاداري,INV_BUA_167
35/47,إدارة البحث العلمي في الوطن العربي,"أبوشيخة, نادر أحمد",عمان,المنظمة العربية للعلوم الإدارية,1986.0,92.0,القانون الإداري,INV_BUA_168
964/152,أثر القبائل العربية في الحياة المغربية: خلال عصري الموحدين وبني مرين,"أبوضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1982.0,376.0,تاريخ المغرب,INV_BUA_169
637/04,كيمياء الألبان وتحليلها,"أبوغرة, صباح",دمشق,غير محدد,1992.0,292.0,الإنتاج الحيواني,INV_BUA_170
631.4/01,أساسيات الأرضي الدزء العلمي,"أبونقطة, فلاح",دمشق,غير محدد,1987.0,103.0,علم التربية,INV_BUA_171
582.28/01,أساسيات علم الفطريات,"أبوهيلة, عبد الله بن ناصر",الرياض,المملكة العربية السعودية,1987.0,543.0,الفطريات,INV_BUA_172
37/34,التربية المقارنة: التربية في الوطن العربي,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992.0,157.0,التربية والتعليم,INV_BUA_173
37/65,التربية المقارنة,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992.0,201.0,التربية والتعليم,INV_BUA_174
37_091/06,تاريخ التربية في العصور القديمة,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992.0,109.0,تاريخ التربية,INV_BUA_175
37_091/07,تاريخ التربية وعلم النفس عند العرب,"أبيض, ملكة",دمشق,مطبوعات جامعة دمشق,1990.0,156.0,تاريخ التربية,INV_BUA_176
323.1/23 ج1,القضية الفلسطينية والصراع العربي الصهيوني. الجزء الأول,إتحاد الجامعات العربية,غير محدد,مديرية مطبعة الجامعة,1983.0,563.0,الحركات الوطنية,INV_BUA_177
323.1/23 ج1 مكرر,القضية الفلسطينية والصراع العربي الصهيوني,إتحاد الجامعات العربية,الموصل,مديرية دار الكتب للطباعة والنشر,1983.0,563.0,الحركات الوطنية,INV_BUA_178
378/20,"الدراسات القنونية: الندوة الأولى لعمداء كليات الحقوق بالجامعات العربية. جامعة بيروت العربية, أبريل 1973",إتحاد الجامعات العربية,بيروت,جامعة بيروت العربية,1973.0,402.0,التعليم العالي,INV_BUA_179
378/27,دور التعليم الجامعي والعلي في التنمية الشاملة: بحوت مختارة من المؤتمر العام الخامس لإتحاد الجامعات العربية,إتحاد الجامعات العربية,عمان,إتحاد الجامعات العربية,1990.0,272.0,التعليم العالي: التعليم التنموي,INV_BUA_180
620.9/03,أبحات ندوة الطاقة المتجددة جامعة حلب 29 أيلول- 2 تشرين الأول 1986,إتحاد الجامعات العربية,حلب,جامعة حلب,1986.0,841.0,الطاقة,INV_BUA_181
378/29,ندوة القبول في التعليم العالي: بحوت مختارة,إتحاد الجامعات العربية - إتحاد الجامعات الدول - الجامعة الأردنية,عمان,الجامعة الأردنية,1988.0,218.0,التعليم العالي,INV_BUA_182
378/28,ندوة طرائق التدريس في الجامعات العربية (بحوت مختارة),إتحاد الجامعات العربية - الجامعة المستنصرية - مكتب اليونسكو الإقليمي,عمان,إتحاد الجامعات العربية,1988.0,252.0,التعليم العالي: مناهج وطرق التدريس,INV_BUA_183
378/26,ندوة تحديث الإدارة الجامعية: بحوت مختارة الواقائع والتوصيات,إتحاد الجامعات العربية - منظمة اليونسكو - جامعة اليرموك,عمان,إتحاد الجامعات العربية,1989.0,472.0,التعليم العالي: الإدارة الجامعية,INV_BUA_184
378/14,الدراسات التربوية: الندوة الأولى لعمداء كليات التربية والمعلمين بالجامعات العربية نونبر 1974,إتحاد الجامعات العربية .الأمانة العامة,غير محدد,الجامعة المستنصرية,1974.0,469.0,التعليم العالي,INV_BUA_185
378/25,"وقائع وتوصيات ندوة ""طرائق التدريس في الجامعات العربية"" التي عقدة في رحاب الجامعة المستنصرية بالجمهورية العراقية في 20 - 22/12/1988",إتحاد الجامعات العربية الأمانة العامة,عمان,إتحاد الجامعات العربية,1988.0,34.0,التعليم الجامعي,INV_BUA_186
378/25 مكرر,وقائع وتوصيات ندوة طرائق التدريس في الجامعات العربية التي عقدت في رحاب الحامعة المستنصرية بالجمهورية العراقية في 20 - 22/12/1988,إتحاد الجامعات العربية الأمانة العامة,عمان,إتحاد الجامعات العربية,1988.0,34.0,التعليم الجامعي,INV_BUA_187
62/03,الدراسات الهندسية: الندوة الثانية لعمداء كليات الهندسة بالجامعات العربية جامعة الموصل آذار 1976,إتحاد الجامعات العربية. الأمانة العامة,غير محدد,جامعة الموصل,1976.0,99.0,الهندسة,INV_BUA_188
63/31,"الإرشاد الزراعي: الندوة الثالتة لعمداء كليات الزراعية بالجامعات العربية جامعة طرابلس 21-27 أبريل 1974, الأمانة العامة",إتحاد الجامعات العربية. الأمانة العامة,غير محدد,جامعة طرابلس,1974.0,252.0,الزراعة,INV_BUA_189
63/32,الدراسات الزراعية: الندوة الرابعة لعمداء كليات الزراعة بالجامعات العربيةجامعة الخرطوم ديسمبر 1976,إتحاد الجامعات العربية. الأمانة العامة,غير محدد,جامعة الخرطوم,1976.0,222.0,الزراعة,INV_BUA_190
57/05 مكرر,المؤتمر العلمي الثاني لعلوم الحياة,إتحاد الحياتين العرب,فاس,كلية العلوم,1982.0,356.0,ندوات,INV_BUA_191
061.3/28 مكرر,المؤتمر العلمي العربي الثاني لعلوم الحياة كلية العلوم فاس 17 - 20 مارس 1982,إتحاد الحياتيين العرب,فاس,كلية العلوم,1982.0,356.0,العلوم البيولوجية,INV_BUA_192
57/05,المؤتمر العلمي العربي الثاني لعلوم الحياة كلية العلوم فاس 17 - 20 مارس 1982,إتحاد الحياتيين العرب,فاس,كلية العلوم,1982.0,356.0,العلوم البيولوجية,INV_BUA_193
336.6/05,العمليات المصرفية الدولية,إتحاد المصارف العربية,باريس,إتحاد المصارف العربية والفرنسية,1978.0,217.0,تمويل المؤسسات الإقتصادية,INV_BUA_194
336.6/08,الوحدات المصرفية الخارجية بالدول العربية,إتحاد المصاريف العربية,غير محدد,إتحاد المصاريف العربية,1983.0,61.0,تمويل المؤسسات الاقتصادية,INV_BUA_195
336.6/14,برنامج التسويق المصرفي,إتحاد المصاريف العربية,بيروت,إتحاد المصاريف العربية دار النفائس,1977.0,263.0,تمويل المؤسسات الاقتصادية,INV_BUA_196
631/13,وقائع ندوة تكامل انتاج حبوب الخبز في الوطن العربي,إتحاد مجالس البحث العلمي العربية,بغداد,اتحاد مجالس البحث العلمي العربية,1983.0,199.0,الهندسة الزراعية,INV_BUA_197
